n,Quick Sort,Merge Sort,Heap Sort,Counting Sort,Radix Sort,Bucket Sort
10,0.012145999997414947,0.01063489999637568,0.005298749999838037,0.07603030000780109,0.017980350000357248,0.006130700006679035
20,0.02163020000693905,0.022181600002113555,0.01398890000530173,0.10539680000078988,0.02881329999411264,0.008122050010683779
30,0.036670999998023035,0.033467949995724666,0.02523244999679264,0.11796790000460078,0.053506749992493496,0.026646149990483536
40,0.08705154999404385,0.08085900000480706,0.043588100001556995,0.09087475000910672,0.04734679999671698,0.01833490000819893
50,0.07708930000092096,0.06646095000633068,0.05237449999526689,0.09766499999841471,0.06624544999738191,0.022457699989786306
60,0.07768805000125667,0.08106705000159309,0.09694299999978284,0.15951919999110942,0.08821829999874353,0.02025125000955086
70,0.09696774999383706,0.09886124999809454,0.0780825500072524,0.10232424999685463,0.1069754999974748,0.0253732499970738
80,0.13051110000219523,0.12113185000828253,0.09780479999221825,0.10791099999778453,0.08401370001251962,0.025528850000000602
90,0.12028819999443385,0.1312731999917105,0.10700635000659986,0.15496404999169044,0.08313189998716553,0.025801799998248498
100,0.19405275000679012,0.19510849999448965,0.15954315000215047,0.14466010000262486,0.1246522499997127,0.03008944999578489
200,0.3746496999951887,0.5288555999896971,0.3621414999940953,0.15842079999970338,0.21062874999415726,0.06839109999532411
300,0.6043472500039115,0.6236315500103728,0.5229794999934256,0.16393055000207823,0.4416514999888932,0.12776149999922382
400,0.744674850005822,0.7033991999975342,0.8223466999936591,0.22117275000255177,0.45243045000233906,0.12554265000517262
500,0.8822615000013911,0.9431691000031606,1.120172899996419,0.3721882000007781,0.8433327999995299,0.19110710000518338
600,1.2565982000012355,1.2481625999953394,1.1738418499987802,0.29699100000470935,0.9413977499946213,0.25982585000008385
700,1.2411243000030936,1.7391306999968492,1.620695950003892,0.30981874999724823,0.9647661000030894,0.21584834999544
800,1.3565671000066004,1.6088341999989098,1.7636108499942793,0.33855380000034074,0.9777800000051684,0.2739400499990552
900,1.8204864499978157,2.2450674499935985,2.042539099997498,0.3984298999995417,1.3382915500045556,0.3159486500010189
1000,1.71528065000075,2.0083175500133166,2.2068259999969086,0.47381944999642656,1.1726465000037933,0.394396199988023
1000,2.1232481499964706,1.9717783499942243,2.135398749996398,0.3884929500003409,2.1475102000010793,0.501449749995686
2000,3.2758991499946433,5.875239450000436,6.746202750002794,1.052639450003312,3.9867739500095922,0.638124200000334
3000,4.452904799993007,9.48239369999726,9.250224250007477,1.0061554000117212,4.51769524999861,1.072977799998398
