n,quick_sort,merge_sort,heap_sort,counting_sort,radix_sort,bucket_sort
10,0.014209333338991806,0.015527333346199157,0.009286000003309406,19.46848966667858,0.028413666674017197,0.008836999995764927
1010,3.0305156666751523,2.9092170000050523,2.2888209999791798,17.328680000010383,1.8846399999953671,0.3722253333269994
2010,5.145337000006596,5.157745333330392,5.498446666668618,17.667215000017222,3.3449876666698706,0.7090879999888481
3010,6.669713333337768,7.744959666638351,9.659723999978572,19.380416666668527,5.980798333325765,1.1762076666551973
4010,9.617684999985462,11.84313999999631,17.999616999986756,22.17378700002352,7.448753999995006,2.082257666681168
5010,10.279055666671866,12.150352000010875,14.828866333327065,17.64896733332459,9.67158166668014,1.806930999994923
6010,13.599006666671206,14.344489000014468,22.67726000000418,21.011008666675934,10.469196666652655,2.3776233333402765
7010,17.927580666669957,16.644448666644013,26.00393033335043,18.484701333344827,12.119626000014705,2.8086730000040916
8010,19.90650433333485,19.179357000003467,26.12053533332907,18.545498666640015,13.990475999984634,3.527513666692054
9010,22.7170600000098,24.186583333327388,31.324394999974935,18.074236000018118,24.27099533334361,5.735825999996298
10010,27.453227666664286,26.173085999990537,39.48090833332193,18.494994999969094,16.648691333330135,3.547707333325434
11010,26.698437000012138,25.92727000001105,38.667397999991714,18.39715833335731,18.252745666681374,3.9814953333158583
12010,29.144910000013624,29.0118603332985,51.48552233331808,19.47411566663959,21.38645266666117,4.565316333336493
13010,28.819850999999137,31.013111333341687,45.816071666668755,19.18744699999782,31.50396900000866,5.761320666654986
14010,33.40838666665983,39.51647900000429,53.94477566666941,20.164877666654018,30.142909000005602,5.003453333339773
15010,46.83261433333049,41.043225666669514,52.91709499999797,19.03391066665942,25.108059999998506,6.549995333349064
16010,44.39483199998525,50.92516066669835,76.36677966663304,19.863427666678035,31.903230333322576,9.177127333335497
17010,46.07979100001103,50.817692666669245,88.15430266668045,24.469333333324055,34.22049333333158,6.4333813333140215
18010,46.86284366668284,50.33142466663776,64.72400999998247,18.70260099999162,29.11983333333031,6.666103333335134
19010,47.80243199998798,50.243838666688134,64.0905230000044,19.06767433333319,35.60979866667443,6.8786716666598595
20010,49.23930133332988,58.62480766667962,79.93733033333683,18.776259333321832,41.361609999986136,7.769483333352885
21010,49.89080733332685,53.09693800001014,84.36642433334403,23.46648566666924,44.08955666665785,7.847022666680914
22010,56.04345333335914,57.591258999991624,77.15200499999735,18.93368466666819,37.28528666666383,8.051690333312914
23010,57.24122700000104,64.49629666667533,87.0320989999982,18.277052333303345,38.44521300000755,8.460642000026533
24010,55.55867666667306,62.40144433333702,85.47548499999873,19.25731699998323,40.54350066669107,9.386595666683206
25010,89.5736063333364,72.98051633335945,92.03174300002577,20.304203333334197,42.938133666666545,10.698512666673802
26010,64.35044166664738,87.0439753333585,96.35025266665782,21.1563743333348,48.66984766668262,10.205990666653028
27010,81.96241533331279,77.44784499999469,114.43712766665233,20.7524846666729,49.39343200002592,11.372476666660228
28010,72.8899473333513,83.8493843333481,115.26505133334315,21.215378333333017,51.88661566666042,11.152789333342147
29010,74.1509253333561,83.59195600000173,113.29874833332572,24.06014133333656,59.09112166665409,14.35193166668114
30010,85.66485000000057,86.75739766666386,150.7554106666665,29.635155666672592,71.12658600001016,16.184241666659698
31010,80.9626743333259,88.83591766666162,125.2548556666587,24.14813633333779,61.012354333324005,13.29673533333183
32010,88.37244600001289,89.36768499999441,138.55042966666056,22.372225333318358,67.07215399999693,14.301792666666794
33010,93.27204299997523,106.94841233333818,157.400594666683,28.513062666661426,65.01338133333927,14.205533333324638
34010,93.5719570000136,106.1646403333422,175.3193129999886,24.412390333338863,75.00320399998373,17.283691666648338
35010,105.4559773333305,149.9947260000075,175.4682646666955,32.82403499997599,72.66297166664042,18.35238666666328
36010,93.47196599998142,119.20981899999106,177.71157600003562,29.605990333323007,82.69469866667123,18.96483499998188
37010,110.43470033333354,118.2753309999877,159.1417236666833,23.266932999983208,82.191512999979,15.438562999994096
38010,108.14844133331765,119.41185800001601,168.09996466664265,33.76475533332268,92.83645566667549,20.05930933332441
39010,121.4644500000001,140.6012589999932,183.71036799999274,28.211731999988388,81.62516266668263,20.04487933334076
40010,107.1637550000067,124.89601533333901,165.523720333321,22.800784333336804,88.148462666652,16.735080666649083
41010,105.63470499999994,140.64636666667715,170.81737666666186,28.872775333335692,92.2870406666713,17.24540133335495
42010,115.90293566670577,129.81805099997246,178.78912433332061,25.270139333315456,85.43467433332808,19.777243666680988
43010,108.46495066664374,131.00113400001115,184.58067599999595,26.683570333318585,96.38638966665287,19.08614133331336
44010,114.52660400000998,138.5065223333489,186.51087900002494,24.984023000001798,88.28141833333802,18.890251666656848
45010,121.63888700001735,138.76585766668845,204.53497066669493,28.870287333328786,89.39054400002533,21.91880233332692
46010,118.23178700001336,130.17888133335495,185.83746866666692,24.07252033333407,82.84768766668549,18.334949000006873
47010,121.78825099999813,137.6728733333342,202.92075233334117,25.92863166665893,90.52449466666228,23.04748166668939
48010,118.50607999997465,137.78577566667613,201.06403799998893,28.205969999968755,119.83342099999088,26.50842366665529
49010,125.48740833333719,151.23859633333345,244.89743633334152,30.765177666656502,94.29695766666175,21.26782599998478
